coverage,family,selective_risk,selector_type
0.8999999761581421,long_rollout,0.05762471631169319,global_oracle
0.5,long_rollout,0.0027266123797744513,local_learned
0.5,long_rollout,0.0013338709250092506,local_oracle
0.5,long_rollout,0.0013633063063025475,local_hybrid_learned
0.5,long_rollout,0.0006669355207122862,local_hybrid_oracle
0.6000000238418579,long_rollout,0.00276899803429842,local_learned
0.6000000238418579,long_rollout,0.0015136334113776684,local_oracle
0.6000000238418579,long_rollout,0.0016613990301266313,local_hybrid_learned
0.6000000238418579,long_rollout,0.0009081801981665194,local_hybrid_oracle
0.699999988079071,long_rollout,0.002718070289120078,local_learned
0.699999988079071,long_rollout,0.0017608386697247624,local_oracle
0.699999988079071,long_rollout,0.0019026492955163121,local_hybrid_learned
0.699999988079071,long_rollout,0.001232587150298059,local_hybrid_oracle
0.75,long_rollout,0.002672516508027911,local_learned
0.75,long_rollout,0.0018854177324101329,local_oracle
0.75,long_rollout,0.002004387555643916,local_hybrid_learned
0.75,long_rollout,0.001414063386619091,local_hybrid_oracle
0.800000011920929,long_rollout,0.002630499191582203,local_learned
0.800000011920929,long_rollout,0.0020100960973650217,local_oracle
0.800000011920929,long_rollout,0.0021043994929641485,local_hybrid_learned
0.800000011920929,long_rollout,0.001608076854608953,local_hybrid_oracle
0.8999999761581421,long_rollout,0.002550656208768487,local_learned
0.8999999761581421,long_rollout,0.002266884548589587,local_oracle
0.8999999761581421,long_rollout,0.002295590238645673,local_hybrid_learned
0.8999999761581421,long_rollout,0.0020401959773153067,local_hybrid_oracle
